premisDesc,crimeCovidStartingPeriod,crimeFirstLockdownPeriod,crimeFirstReopeningPeriod,crimeMaskMandatePeriod,crimeRestrictionsEasedPeriod,crimeVaccineAvailabilityPeriod,crimeRestrictionsDroppedPeriod,crimeVaccineRequirementPeriod,crimeMaskMandateExtendedPeriod,crimeSecondRestrictionsEasedPeriod,crimeExecutiveOrdersDroppedPeriod
MTA - BLUE LINE - PICO,1,3,5,0,1,3,8,1,1,0,18
COMPUTER SERVICES/REPAIRS/SALES,1,2,1,2,1,3,3,2,0,2,2
RIVER BED*,1,6,6,6,3,6,6,6,0,3,10
TOOL SHED*,1,2,4,0,0,0,3,0,0,0,9
MTA - GOLD LINE - HERITAGE SQ,1,0,3,0,1,1,5,2,0,0,3
MTA - SILVER LINE - PACIFIC COAST HWY,1,0,0,1,0,0,0,0,0,0,0
MTA - PURPLE LINE - 7TH AND METRO CENTER,1,3,1,0,2,0,2,0,1,0,1
PEDESTRIAN OVERCROSSING,1,0,1,0,1,2,2,3,0,0,3
ENERGY PLANT/FACILITY,1,3,3,1,0,1,3,3,2,1,19
MUSCLE BEACH,1,0,0,0,0,0,0,0,0,0,2
TV/RADIO/APPLIANCE,1,1,5,1,0,2,1,3,1,0,6
MTA - SILVER LINE - ROSECRANS,1,1,1,1,0,0,0,0,0,0,0
"TRUCK, COMMERICAL",1,1,1,0,1,0,2,3,0,0,4
MTA - BLUE LINE - GRAND/LATTC,1,2,5,0,2,2,2,5,0,0,15
MTA - GOLD LINE - SOUTHWEST MUSEUM,1,3,0,0,0,0,8,1,0,0,2
MORTUARY,1,1,10,1,0,1,1,2,1,1,7
MTA - EXPO LINE - PICO,1,0,4,0,0,0,0,0,0,1,2
MTA - ORANGE LINE - TAMPA,1,1,1,1,0,0,0,1,0,0,5
FACTORY,1,1,5,4,4,3,5,3,0,1,18
SAVINGS & LOAN,1,3,5,1,2,0,4,1,1,0,28
MTA - ORANGE LINE - WOODLEY,1,0,3,2,0,0,0,0,0,0,3
WATER FACILITY,1,2,3,1,3,0,0,2,1,0,8
"TRAIN DEPOT/TERMINAL, OTHER THAN MTA",1,0,3,1,0,1,0,0,0,0,3
MTA - GOLD LINE - HIGHLAND PARK,1,1,4,1,3,1,2,2,0,1,6
MTA - EXPO LINE - JEFFERSON/USC,1,2,1,2,0,3,2,3,0,2,7
MTA - GREEN LINE - AVIATION/LAX,1,3,4,0,1,2,2,3,0,1,7
DAY CARE/ADULTS*,1,6,11,6,3,6,4,6,0,2,17
MASS GATHERING LOCATION,1,1,0,0,0,0,3,0,0,0,2
MTA - BLUE LINE - SAN PEDRO,1,3,4,0,1,1,2,5,0,0,9
COLISEUM,1,0,1,2,0,0,4,7,0,9,30
OIL REFINERY,0,1,3,0,1,0,1,2,0,0,5
BANK DROP BOX/MONEY DROP-OUTSIDE OF BANK*,0,1,0,0,1,0,0,1,0,0,2
CATERING/ICE CREAM TRUCK,0,2,0,0,1,1,1,2,0,1,12
AMUSEMENT PARK*,0,1,0,0,2,2,3,5,0,0,12
MOSQUE*,0,0,1,0,2,0,4,3,1,0,8
GARMENT MANUFACTURER,0,1,2,0,0,0,1,2,0,0,9
DODGER STADIUM,0,2,4,1,3,13,71,16,2,1,124
"OTHER INTERSTATE, CHARTER BUS",0,1,1,0,0,0,1,1,0,0,2
MTA - GOLD LINE - CHINATOWN,0,1,2,3,2,1,1,5,0,0,3
POOL-PUBLIC/OUTDOOR OR INDOOR*,0,1,6,0,2,3,8,2,0,1,22
PAY PHONE,0,0,0,7,2,0,0,0,0,0,3
MTA - PURPLE LINE - WILSHIRE/NORMANDIE,0,4,4,2,5,1,2,3,0,1,13
ESCALATOR*,0,1,0,0,0,0,0,1,0,0,3
SPORTS ARENA,0,2,1,0,1,3,10,3,2,1,25
DAM/RESERVOIR,0,1,2,1,1,0,5,3,0,1,2
MTA - SILVER LINE - HARBOR FWY,0,0,3,0,1,0,1,0,0,0,6
MTA - PURPLE LINE - WESTLAKE/MACARTHUR PARK,0,2,3,1,0,1,2,3,0,0,1
MTA - GOLD LINE - INDIANA,0,1,2,0,1,0,1,0,0,0,1
METHADONE CLINIC,0,0,1,2,0,0,0,1,0,1,2
DRIVE THRU BANKING (WINDOW)*,0,0,3,1,2,0,1,0,1,0,5
CULTURAL SIGNIFICANCE/MONUMENT,0,1,1,0,0,0,2,1,0,0,9
MTA - ORANGE LINE - ROSCOE,0,0,2,0,2,0,0,0,0,0,3
MTA - SILVER LINE - SLAUSON,0,1,0,0,0,0,2,1,0,0,3
RECORD-CD MUSIC/COMPUTER GAME STORE,0,4,1,0,3,0,3,0,0,0,7
MTA - EXPO LINE - LATTC/ORTHO INSTITUTE,0,0,5,1,1,0,4,2,0,2,4
MTA - ORANGE LINE - DE SOTO,0,0,1,0,0,0,1,0,0,0,2
MTA - PURPLE LINE - UNION STATION,0,1,1,2,0,0,0,2,0,0,3
ABORTION CLINIC/ABORTION FACILITY*,0,2,0,0,1,1,0,1,0,0,1
MTA - ORANGE LINE - CANOGA,0,1,4,1,0,2,0,2,0,0,5
VIDEO RENTAL STORE,0,0,1,0,0,0,2,0,1,0,1
MTA - ORANGE LINE - BALBOA,0,1,3,0,0,0,0,1,0,0,5
MTA - ORANGE LINE - SHERMAN WAY,0,0,4,0,1,0,1,0,0,0,2
CHEMICAL STORAGE/MANUFACTURING PLANT,0,0,0,0,1,0,1,1,0,0,1
MTA - ORANGE LINE - SEPULVEDA,0,0,3,0,4,1,1,2,0,0,2
MTA - SILVER LINE - MANCHESTER,0,0,0,0,0,0,0,0,0,0,3
"TRAIN, OTHER THAN MTA (ALSO QUERY 809/810/811)",0,0,0,0,0,0,1,0,0,1,2
MTA - ORANGE LINE - WOODMAN,0,0,3,1,0,1,1,1,0,0,1
HOCKEY RINK/ICE HOCKEY,0,0,0,0,0,0,0,1,1,0,1
MTA - ORANGE LINE - PIERCE COLLEGE,0,0,1,0,0,2,1,0,0,0,1
MTA - SILVER LINE - 37TH ST/USC,0,0,1,0,1,0,1,0,0,0,1
ABATEMENT LOCATION,0,0,1,0,2,0,0,0,0,0,1
HARBOR FRWY STATION (NOT LINE SPECIFIC),0,0,0,0,0,0,0,0,0,0,1
MTA - GOLD LINE - PICO/ALISO,0,0,1,1,1,0,4,0,0,0,3
MTA - ORANGE LINE - VALLEY COLLEGE,0,1,2,0,0,0,0,0,0,0,0
MTA - GOLD LINE - LITTLE TOKYO/ARTS DISTRICT,0,0,1,0,0,0,0,0,0,0,0
MTA - ORANGE LINE - LAUREL CANYON,0,0,2,0,0,0,1,1,0,0,0
DEPT OF DEFENSE FACILITY,0,0,0,0,1,0,0,0,0,0,0
RETIRED (DUPLICATE) DO NOT USE THIS CODE,0,0,0,0,0,1,0,0,0,0,0
