date,acronym,count
2022-12-15,SYL,1
2022-12-15,ARL,4
2022-12-15,WLA,9
2022-12-15,BAR,1
2022-12-15,ENC,11
2022-12-15,SVY,5
2022-12-15,CPK,6
2022-12-15,SLD,3
2022-12-15,NRD,5
2022-12-15,GHL,3
2022-12-15,SPD,2
2022-12-15,WWD,2
2022-12-15,CHT,3
2022-12-14,SEL,14
2022-12-14,CCY,32
2022-12-14,SLK,4
2022-12-14,WIL,27
2022-12-14,SLA,29
2022-12-14,WLM,2
2022-12-14,SPD,5
2022-12-14,HWD,26
2022-12-14,WAD,13
2022-12-14,WLA,11
2022-12-14,NLA,11
2022-12-14,WCH,6
2022-12-14,PLM,14
2022-12-14,SVY,4
2022-12-14,NHL,10
2022-12-14,SYL,1
2022-12-14,BHT,4
2022-12-14,ARL,1
2022-12-14,WWD,6
2022-12-14,CPK,13
2022-12-14,WLK,13
2022-12-14,SHR,4
2022-12-14,RES,4
2022-12-14,LAX,3
2022-12-14,MSS,4
2022-12-14,CCN,3
2022-12-14,VNY,8
2022-12-14,BTW,2
2022-12-14,ENC,5
2022-12-14,SLD,2
2022-12-14,GHL,2
2022-12-14,CHT,2
2022-12-14,NRD,2
2022-12-14,HAR,1
2022-12-14,VEN,1
2022-12-13,WLK,7
2022-12-13,SLK,10
2022-12-13,WAD,19
2022-12-13,SLA,19
2022-12-13,NLA,14
2022-12-13,BHT,5
2022-12-13,WLM,6
2022-12-13,HWD,19
2022-12-13,BTW,2
2022-12-13,VNY,13
2022-12-13,RES,9
2022-12-13,SEL,28
2022-12-13,VEN,5
2022-12-13,NHL,4
2022-12-13,ARL,3
2022-12-13,NRD,2
2022-12-13,MSS,7
2022-12-13,WIL,20
2022-12-13,CPK,15
2022-12-13,WCH,3
2022-12-13,SYL,2
2022-12-13,CHT,1
2022-12-13,CCY,10
2022-12-13,WLA,8
2022-12-13,BAR,1
2022-12-13,PLM,13
2022-12-13,LAX,2
2022-12-13,SHR,7
2022-12-13,SVY,6
2022-12-13,GHL,5
2022-12-13,CCN,5
2022-12-13,SPD,3
2022-12-13,SLD,2
2022-12-13,HAR,3
2022-12-13,ENC,5
2022-12-13,WWD,1
2022-12-12,CCY,14
2022-12-12,WLK,8
2022-12-12,SLA,35
2022-12-12,WAD,10
2022-12-12,NLA,19
2022-12-12,SPD,3
2022-12-12,HAR,4
2022-12-12,WLM,4
2022-12-12,HWD,17
2022-12-12,WIL,25
2022-12-12,BTW,2
2022-12-12,WLA,12
2022-12-12,VNY,16
2022-12-12,SHR,12
2022-12-12,RES,6
2022-12-12,SLK,5
2022-12-12,PLM,13
2022-12-12,NHL,15
2022-12-12,SLD,6
2022-12-12,SVY,4
2022-12-12,ARL,4
2022-12-12,CHT,5
2022-12-12,MSS,6
2022-12-12,GHL,6
2022-12-12,SEL,14
2022-12-12,SYL,5
2022-12-12,CPK,10
2022-12-12,LAX,3
2022-12-12,BHT,5
2022-12-12,ENC,10
2022-12-12,WCH,4
2022-12-12,NRD,3
2022-12-12,CCN,3
2022-12-12,BAR,1
2022-12-12,VEN,2
2022-12-11,CCN,4
2022-12-11,WLK,7
2022-12-11,SLA,17
2022-12-11,WAD,12
2022-12-11,BHT,2
2022-12-11,WLM,9
2022-12-11,SPD,4
2022-12-11,HWD,19
2022-12-11,WIL,30
2022-12-11,BAR,3
2022-12-11,VNY,14
2022-12-11,SHR,5
2022-12-11,NLA,16
2022-12-11,SEL,19
2022-12-11,CCY,16
2022-12-11,VEN,6
2022-12-11,SVY,8
2022-12-11,NHL,11
2022-12-11,ARL,2
2022-12-11,CHT,10
2022-12-11,MSS,12
2022-12-11,CPK,12
2022-12-11,WLA,9
2022-12-11,GHL,5
2022-12-11,ENC,5
2022-12-11,RES,5
2022-12-11,WCH,4
2022-12-11,LAX,2
2022-12-11,HAR,3
2022-12-11,BTW,5
2022-12-11,PLM,6
2022-12-11,SLD,1
2022-12-11,NRD,1
2022-12-11,SYL,2
2022-12-11,SLK,6
2022-12-11,WWD,2
2022-12-10,CCY,34
2022-12-10,CCN,13
2022-12-10,WLK,7
2022-12-10,WAD,7
2022-12-10,SLA,39
2022-12-10,BHT,6
2022-12-10,NLA,10
2022-12-10,SPD,6
2022-12-10,WIL,45
2022-12-10,WLA,11
2022-12-10,BTW,4
2022-12-10,VNY,19
2022-12-10,RES,11
2022-12-10,HWD,22
2022-12-10,SEL,18
2022-12-10,VEN,5
2022-12-10,PLM,10
2022-12-10,SVY,6
2022-12-10,SHR,12
2022-12-10,SLD,8
2022-12-10,MSS,2
2022-12-10,CPK,17
2022-12-10,NHL,10
2022-12-10,ARL,2
2022-12-10,CHT,4
2022-12-10,WWD,4
2022-12-10,LAX,2
2022-12-10,SLK,6
2022-12-10,WCH,4
2022-12-10,WLM,4
2022-12-10,ENC,7
2022-12-10,GHL,4
2022-12-10,NRD,3
2022-12-09,CCY,17
2022-12-09,WLK,7
2022-12-09,SLK,13
2022-12-09,SLA,25
2022-12-09,WAD,6
2022-12-09,BHT,7
2022-12-09,WLM,6
2022-12-09,HAR,6
2022-12-09,HWD,17
2022-12-09,WIL,30
2022-12-09,WLA,10
2022-12-09,BTW,3
2022-12-09,VNY,12
2022-12-09,RES,6
2022-12-09,NLA,12
2022-12-09,SEL,18
2022-12-09,WCH,6
2022-12-09,NHL,8
2022-12-09,ARL,9
2022-12-09,SVY,7
2022-12-09,SLD,2
2022-12-09,CHT,3
2022-12-09,NRD,6
2022-12-09,MSS,13
2022-12-09,CPK,11
2022-12-09,WWD,3
2022-12-09,SHR,8
2022-12-09,SYL,2
2022-12-09,PTL,1
2022-12-09,ENC,8
2022-12-09,LAX,5
2022-12-09,GHL,6
2022-12-09,SPD,7
2022-12-09,CCN,7
2022-12-09,PLM,4
2022-12-08,CCY,16
2022-12-08,WLK,5
2022-12-08,HWD,13
2022-12-08,WAD,13
2022-12-08,NLA,18
2022-12-08,BHT,6
2022-12-08,WLM,5
2022-12-08,SPD,10
2022-12-08,HAR,3
2022-12-08,WLA,14
2022-12-08,BTW,4
2022-12-08,VNY,13
2022-12-08,ENC,6
2022-12-08,RES,4
2022-12-08,SLK,7
2022-12-08,SEL,20
2022-12-08,SLA,17
2022-12-08,VEN,4
2022-12-08,WCH,11
2022-12-08,PLM,6
2022-12-08,NHL,13
2022-12-08,SHR,9
2022-12-08,SVY,6
2022-12-08,GHL,5
2022-12-08,MSS,6
2022-12-08,SYL,4
2022-12-08,WIL,20
2022-12-08,CHT,9
2022-12-08,CPK,12
2022-12-08,CCN,6
2022-12-08,WWD,6
2022-12-08,SLD,2
2022-12-08,NRD,5
2022-12-08,BAR,2
2022-12-08,ARL,1
2022-12-08,PTL,1
2022-12-07,CCY,20
2022-12-07,WLK,10
2022-12-07,WAD,19
2022-12-07,SLA,19
2022-12-07,NLA,12
2022-12-07,BHT,5
2022-12-07,HAR,6
2022-12-07,WLM,5
2022-12-07,HWD,17
2022-12-07,WLA,12
2022-12-07,WIL,19
2022-12-07,SHR,10
2022-12-07,ENC,4
2022-12-07,SEL,23
2022-12-07,VEN,2
2022-12-07,WCH,13
2022-12-07,NHL,7
2022-12-07,ARL,3
2022-12-07,GHL,6
2022-12-07,SYL,1
2022-12-07,MSS,9
2022-12-07,VNY,10
2022-12-07,CHT,8
2022-12-07,CPK,13
2022-12-07,SLK,3
2022-12-07,LAX,2
2022-12-07,SLD,2
2022-12-07,CCN,6
2022-12-07,BAR,1
2022-12-07,BTW,2
2022-12-07,RES,1
2022-12-07,PLM,10
2022-12-07,NRD,2
2022-12-07,WWD,2
2022-12-07,SVY,1
2022-12-07,PTL,1
2022-12-07,SPD,1
2022-12-06,CCN,7
2022-12-06,WAD,12
2022-12-06,NLA,17
2022-12-06,BHT,3
2022-12-06,WLM,3
2022-12-06,HAR,2
2022-12-06,SPD,5
2022-12-06,HWD,16
2022-12-06,BTW,3
2022-12-06,VNY,11
2022-12-06,RES,3
2022-12-06,SLK,6
2022-12-06,SLA,25
2022-12-06,WCH,8
2022-12-06,NHL,7
2022-12-06,SVY,7
2022-12-06,SLD,2
2022-12-06,MSS,8
2022-12-06,SEL,15
2022-12-06,WIL,34
2022-12-06,CPK,10
2022-12-06,CCY,19
2022-12-06,WLA,5
2022-12-06,CHT,5
2022-12-06,ENC,12
2022-12-06,PLM,8
2022-12-06,WLK,7
2022-12-06,SHR,6
2022-12-06,VEN,2
2022-12-06,GHL,3
2022-12-06,WWD,2
2022-12-06,NRD,2
2022-12-06,SYL,2
2022-12-05,CCN,10
2022-12-05,CCY,23
2022-12-05,WLK,6
2022-12-05,HWD,17
2022-12-05,SLA,26
2022-12-05,WAD,7
2022-12-05,NLA,17
2022-12-05,BHT,6
2022-12-05,WIL,36
2022-12-05,BTW,5
2022-12-05,RES,7
2022-12-05,ENC,12
2022-12-05,SEL,9
2022-12-05,VEN,7
2022-12-05,NHL,10
2022-12-05,SVY,4
2022-12-05,GHL,7
2022-12-05,MSS,11
2022-12-05,ARL,1
2022-12-05,WLA,4
2022-12-05,PLM,4
2022-12-05,WCH,4
2022-12-05,CPK,10
2022-12-05,CHT,7
2022-12-05,VNY,8
2022-12-05,WWD,4
2022-12-05,SHR,7
2022-12-05,LAX,3
2022-12-05,NRD,2
2022-12-05,HAR,4
2022-12-05,SLD,2
2022-12-05,SPD,5
2022-12-05,SLK,4
2022-12-05,WLM,2
2022-12-05,SYL,1
2022-12-04,CCY,23
2022-12-04,CCN,2
2022-12-04,SLK,2
2022-12-04,WLK,8
2022-12-04,SLA,11
2022-12-04,BHT,4
2022-12-04,NLA,8
2022-12-04,HAR,1
2022-12-04,WLM,5
2022-12-04,WIL,25
2022-12-04,WAD,9
2022-12-04,WLA,5
2022-12-04,VNY,15
2022-12-04,SEL,19
2022-12-04,SHR,5
2022-12-04,ARL,4
2022-12-04,GHL,3
2022-12-04,CHT,4
2022-12-04,MSS,11
2022-12-04,CPK,7
2022-12-04,HWD,19
2022-12-04,RES,4
2022-12-04,NHL,8
2022-12-04,ENC,5
2022-12-04,SPD,3
2022-12-04,PLM,3
2022-12-04,LAX,3
2022-12-04,VEN,3
2022-12-04,SVY,2
2022-12-04,WWD,2
2022-12-04,BTW,3
2022-12-04,WCH,2
2022-12-04,SYL,1
2022-12-04,BAR,1
2022-12-04,SLD,1
2022-12-03,CCY,23
2022-12-03,CCN,9
2022-12-03,WIL,53
2022-12-03,WLK,9
2022-12-03,SLK,13
2022-12-03,SLA,24
2022-12-03,NLA,8
2022-12-03,BHT,3
2022-12-03,WLM,5
2022-12-03,HAR,4
2022-12-03,HWD,25
2022-12-03,WLA,6
2022-12-03,WAD,10
2022-12-03,BAR,1
2022-12-03,VNY,6
2022-12-03,SEL,21
2022-12-03,PLM,10
2022-12-03,NHL,10
2022-12-03,SVY,7
2022-12-03,RES,5
2022-12-03,GHL,2
2022-12-03,CHT,5
2022-12-03,MSS,6
2022-12-03,ARL,4
2022-12-03,SHR,8
2022-12-03,ENC,6
2022-12-03,CPK,15
2022-12-03,LAX,3
2022-12-03,WCH,5
2022-12-03,NRD,6
2022-12-03,WWD,2
2022-12-03,VEN,1
2022-12-03,SLD,2
2022-12-03,SPD,1
2022-12-03,SYL,1
2022-12-02,CCY,33
2022-12-02,HWD,27
2022-12-02,WLK,9
2022-12-02,SLK,7
2022-12-02,SLA,34
2022-12-02,BHT,9
2022-12-02,SPD,8
2022-12-02,HAR,3
2022-12-02,WLM,4
2022-12-02,WIL,56
2022-12-02,VNY,17
2022-12-02,SHR,9
2022-12-02,RES,8
2022-12-02,ENC,9
2022-12-02,NLA,12
2022-12-02,WAD,7
2022-12-02,SEL,16
2022-12-02,PLM,5
2022-12-02,NHL,14
2022-12-02,MSS,6
2022-12-02,NRD,5
2022-12-02,CPK,13
2022-12-02,SYL,2
2022-12-02,CHT,11
2022-12-02,WLA,12
2022-12-02,WCH,5
2022-12-02,ARL,6
2022-12-02,WWD,4
2022-12-02,LAX,5
2022-12-02,SLD,4
2022-12-02,GHL,3
2022-12-02,CCN,5
2022-12-02,VEN,6
2022-12-02,PTL,1
2022-12-02,BAR,2
2022-12-02,BTW,3
2022-12-02,SVY,4
2022-12-01,CCN,9
2022-12-01,WLK,8
2022-12-01,SLK,7
2022-12-01,WAD,12
2022-12-01,SLA,32
2022-12-01,BHT,6
2022-12-01,NLA,11
2022-12-01,SPD,7
2022-12-01,HWD,19
2022-12-01,WIL,29
2022-12-01,WLA,12
2022-12-01,VNY,13
2022-12-01,SEL,21
2022-12-01,CCY,17
2022-12-01,WCH,9
2022-12-01,LAX,2
2022-12-01,SHR,7
2022-12-01,NHL,9
2022-12-01,SLD,4
2022-12-01,GHL,9
2022-12-01,CHT,11
2022-12-01,CPK,9
2022-12-01,MSS,6
2022-12-01,WLM,5
2022-12-01,WWD,3
2022-12-01,PLM,12
2022-12-01,SVY,5
2022-12-01,NRD,1
2022-12-01,HAR,2
2022-12-01,ARL,1
2022-12-01,BTW,3
2022-12-01,RES,3
2022-12-01,ENC,10
2022-12-01,VEN,3
2022-11-30,CCY,19
2022-11-30,WLK,8
2022-11-30,WAD,12
2022-11-30,SLA,20
2022-11-30,NLA,13
2022-11-30,BHT,4
2022-11-30,SPD,9
2022-11-30,HWD,18
2022-11-30,WIL,25
2022-11-30,WLA,11
2022-11-30,PLM,10
2022-11-30,VNY,16
2022-11-30,RES,6
2022-11-30,ENC,4
2022-11-30,SEL,17
2022-11-30,WCH,7
2022-11-30,SLD,4
2022-11-30,SVY,5
2022-11-30,GHL,2
2022-11-30,CHT,3
2022-11-30,MSS,5
2022-11-30,CPK,13
2022-11-30,SHR,10
2022-11-30,BAR,2
2022-11-30,LAX,3
2022-11-30,NHL,10
2022-11-30,CCN,3
2022-11-30,NRD,3
2022-11-30,SLK,6
2022-11-30,WLM,2
2022-11-30,BTW,2
2022-11-30,VEN,2
2022-11-30,SYL,1
2022-11-30,HAR,1
2022-11-30,ARL,3
2022-11-29,CCY,14
2022-11-29,WLK,12
2022-11-29,SLK,10
2022-11-29,BHT,5
2022-11-29,HAR,4
2022-11-29,WLM,1
2022-11-29,HWD,17
2022-11-29,WIL,28
2022-11-29,WAD,12
2022-11-29,VNY,12
2022-11-29,SHR,4
2022-11-29,ENC,6
2022-11-29,RES,5
2022-11-29,NLA,9
2022-11-29,SEL,15
2022-11-29,VEN,7
2022-11-29,PLM,8
